                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.968338             0.703585             1.822678             6.426049
CS-Price-Aaa-3MO-diff           127.000000             0.095648             0.722686            -2.204706            -0.211684             0.118593             0.404020             5.434227
CS-Price-Aa-3MO-diff            127.000000             0.109908             0.503709            -0.985209            -0.240786             0.114874             0.393750             1.446000
CS-Price-A-3MO-diff             127.000000             0.138772             0.550534            -1.447054            -0.228988             0.143991             0.414333             1.714387
CS-Price-Baa-3MO-diff           127.000000             0.175564             0.611031            -1.474612            -0.201012             0.144394             0.486882             2.449877
CS-Price-Aaa-1YR-diff           127.000000             0.339643             2.486459            -6.326551            -0.624672             0.530125             1.272039            19.636813
CS-Price-Aa-1YR-diff            127.000000             0.394439             1.691173            -3.437858            -0.691894             0.411371             1.318272             5.297686
CS-Price-A-1YR-diff             127.000000             0.502251             1.863742            -4.547356            -0.647612             0.568971             1.404433             6.289456
CS-Price-Baa-1YR-diff           127.000000             0.636057             2.152317            -5.553402            -0.397524             0.457562             1.666908             8.967339
CS-Price-Aaa-5YR-diff           127.000000             1.004102             9.672719           -29.974303            -3.222680             0.110326             4.457966            76.980210
CS-Price-Aa-5YR-diff            127.000000             1.248738             9.363613           -29.404763            -3.757163             1.082470             4.783012            40.510480
CS-Price-A-5YR-diff             127.000000             1.675303            10.155014           -25.852472            -4.072037             2.067995             5.217888            43.667492
CS-Price-Baa-5YR-diff           127.000000             2.131804            11.149726           -27.584155            -4.755866             1.618427             6.436761            49.627295
TB-3MO-TY-diff                  127.000000             0.015512             0.063720            -0.230000            -0.015000             0.010000             0.040000             0.230000
TB-1YR-TY-diff                  127.000000             0.012835             0.083356            -0.290000            -0.030000             0.010000             0.050000             0.210000
TB-5YR-TY-diff                  127.000000             0.002283             0.208637            -0.470000            -0.125000             0.000000             0.135000             0.680000
Market-RMRF-diff                127.000000             0.037689             5.767951           -11.592700            -3.735800            -0.291600             2.834900            19.513600
Market-SP500-diff               127.000000            16.540000            68.766069          -253.319800           -14.485000            27.260100            53.889950           197.250000
Econ-UNRATE-diff                127.000000            -0.032283             0.160298            -0.500000            -0.100000             0.000000             0.100000             0.500000
Econ-DSPIC96-diff               127.000000            26.570079            89.055408          -749.500000             9.150000            33.100000            56.400000           323.200000
Econ-CPIAUCSL-diff              127.000000             0.349299             0.457031            -1.505000             0.066000             0.406000             0.632500             1.768000
Econ-CPILFESL-diff              127.000000             0.368772             0.163441            -0.248000             0.247500             0.387000             0.476500             0.726000
Econ-INDPRO-diff                127.000000             0.148687             0.523006            -1.434200            -0.188850             0.200800             0.520050             1.578500
Econ-PCE-diff                   127.000000            38.571654            36.199759          -117.400000            21.950000            37.700000            60.000000           138.000000
Market-SP500-pc-delta           127.000000             0.010763             0.038902            -0.109931            -0.010499             0.014759             0.034259             0.107723
**** cs stats p1 diff ****
                                     count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aaa_Corp                   126.000000            -0.022453             0.251170            -1.964417            -0.132505            -0.017662             0.073867             0.801853
Corp-Aa_Corp                    126.000000            -0.022949             0.178959            -0.512214            -0.122844             0.001607             0.106369             0.396549
Corp-A_Corp                     126.000000            -0.029874             0.193141            -0.681194            -0.132173            -0.022968             0.089782             0.539761
Corp-Baa_Corp                   126.000000            -0.043460             0.220523            -0.969348            -0.159431            -0.024379             0.094565             0.508876
TB-3MO-TY                       126.000000             0.014603             0.063143            -0.230000            -0.017500             0.010000             0.040000             0.230000
TB-1YR-TY                       126.000000             0.011825             0.082906            -0.290000            -0.030000             0.010000             0.050000             0.210000
TB-5YR-TY                       126.000000            -0.000079             0.207757            -0.470000            -0.127500            -0.002500             0.130000             0.680000
Econ-UNRATE                     126.000000            -0.036508             0.153677            -0.500000            -0.100000             0.000000             0.100000             0.400000
Econ-DSPIC96                    126.000000            27.734921            88.434231          -749.500000             9.500000            33.800000            56.400000           323.200000
Econ-CPIAUCSL                   126.000000             0.345944             0.457283            -1.505000             0.066000             0.393000             0.629000             1.768000
Econ-CPILFESL                   126.000000             0.368159             0.163946            -0.248000             0.245250             0.384000             0.478250             0.726000
Econ-INDPRO                     126.000000             0.154527             0.520920            -1.434200            -0.178675             0.204050             0.523175             1.578500
Econ-PCE                        126.000000            39.019048            35.990027          -117.400000            23.150000            37.850000            60.750000           138.000000
Market-SP500                    126.000000            17.391825            68.364561          -253.319800           -10.085050            27.430050            54.199875           197.250000
Market-SP500-change             126.000000             0.072888             5.787180           -11.622700            -3.739750            -0.248250             2.918000            19.533600
Market-RMRF                     126.000000             0.058285             5.786286           -11.592700            -3.752250            -0.249400             2.847650            19.513600
CS-Aaa-3MO                      126.000000            -0.037056             0.247240            -1.914000            -0.137000            -0.040500             0.070750             0.782000
CS-Aa-3MO                       126.000000            -0.037548             0.173269            -0.508000            -0.136000            -0.035500             0.081750             0.340000
CS-A-3MO                        126.000000            -0.044484             0.187772            -0.611000            -0.139500            -0.046500             0.078500             0.519000
CS-Baa-3MO                      126.000000            -0.058063             0.212281            -0.899000            -0.166000            -0.048500             0.070250             0.509000
CS-Aaa-1YR                      126.000000            -0.034278             0.221001            -1.814000            -0.110000            -0.047000             0.048000             0.592000
CS-Aa-1YR                       126.000000            -0.034770             0.150700            -0.488000            -0.116000            -0.035500             0.061000             0.302000
CS-A-1YR                        126.000000            -0.041706             0.164951            -0.601000            -0.123000            -0.049500             0.057000             0.402000
CS-Baa-1YR                      126.000000            -0.055286             0.196875            -0.889000            -0.149000            -0.040500             0.037750             0.499000
CS-Aaa-5YR                      126.000000            -0.022373             0.194522            -1.644000            -0.080000            -0.002000             0.056500             0.662000
CS-Aa-5YR                       126.000000            -0.022865             0.180990            -0.850000            -0.083500            -0.018500             0.068750             0.533000
CS-A-5YR                        126.000000            -0.029802             0.204501            -1.031000            -0.094500            -0.037000             0.075750             0.498000
CS-Baa-5YR                      126.000000            -0.043381             0.243715            -1.319000            -0.124250            -0.031500             0.096750             0.563000
CS-Price-Aaa-3MO                126.000000             0.108114             0.711730            -2.204706            -0.206447             0.119933             0.406022             5.434227
CS-Price-Aa-3MO                 126.000000             0.109767             0.505718            -0.985209            -0.241690             0.104418             0.400081             1.446000
CS-Price-A-3MO                  126.000000             0.128874             0.541268            -1.447054            -0.230691             0.135200             0.409329             1.714387
CS-Price-Baa-3MO                126.000000             0.165291             0.602359            -1.474612            -0.206539             0.140883             0.480693             2.449877
CS-Price-Aaa-1YR                126.000000             0.386010             2.440639            -6.326551            -0.560672             0.535943             1.275403            19.636813
CS-Price-Aa-1YR                 126.000000             0.392866             1.697831            -3.437858            -0.704979             0.401424             1.333705             5.297686
CS-Price-A-1YR                  126.000000             0.464116             1.820753            -4.547356            -0.647970             0.565198             1.395954             6.289456
CS-Price-Baa-1YR                126.000000             0.597353             2.116071            -5.553402            -0.423205             0.452022             1.659655             8.967339
CS-Price-Aaa-5YR                126.000000             1.141823             9.585505           -29.974303            -3.130133             0.111309             4.509058            76.980210
CS-Price-Aa-5YR                 126.000000             1.179560             9.368353           -29.404763            -3.869078             1.038457             4.740259            40.510480
CS-Price-A-5YR                  126.000000             1.465015             9.914045           -25.852472            -4.104867             2.034379             5.149637            43.667492
CS-Price-Baa-5YR                126.000000             1.943606            10.989850           -27.584155            -4.963787             1.615289             6.269017            49.627295
CS-Aaa-3MO-diff                 126.000000             0.000833             0.241740            -0.613000            -0.125500             0.018500             0.150250             0.586000
CS-Aa-3MO-diff                  126.000000             0.000833             0.241740            -0.613000            -0.125500             0.018500             0.150250             0.586000
CS-A-3MO-diff                   126.000000             0.004373             0.259340            -0.751000            -0.151250             0.012500             0.177500             1.016000
CS-Baa-3MO-diff                 126.000000             0.004492             0.270612            -0.998000            -0.148500             0.032500             0.169750             0.763000
CS-Price-Aaa-3MO-diff           126.000000             0.010227             1.118715            -6.311717            -0.418726            -0.085313             0.397371             7.638933
CS-Price-Aa-3MO-diff            126.000000            -0.002448             0.707454            -1.729470            -0.442595            -0.052740             0.369920             1.790960
CS-Price-A-3MO-diff             126.000000            -0.012286             0.748763            -2.832954            -0.521492            -0.034541             0.447676             2.090387
CS-Price-Baa-3MO-diff           126.000000            -0.012234             0.772883            -2.070447            -0.492441            -0.094069             0.430025             2.718371
CS-Price-Aaa-1YR-diff           126.000000             0.049096             3.779536           -23.111669            -1.278066            -0.227481             1.134632            25.963363
CS-Price-Aa-1YR-diff            126.000000             0.000932             2.282774            -6.199603            -1.307848            -0.047292             1.311258             7.511924
CS-Price-A-1YR-diff             126.000000            -0.035963             2.393491            -8.757751            -1.441322            -0.041804             1.380470             8.791687
CS-Price-Baa-1YR-diff           126.000000            -0.034906             2.590366            -6.668179            -1.690981            -0.237157             1.505797            10.960606
CS-Price-Aaa-5YR-diff           126.000000             0.155541            14.224581           -71.317447            -5.119663            -0.407875             4.998496           106.954513
CS-Price-Aa-5YR-diff            126.000000            -0.052064            11.912718           -36.064161            -5.576777            -0.607064             5.057885            59.764119
CS-Price-A-5YR-diff             126.000000            -0.194451            12.704972           -45.174007            -6.082782            -0.802153             6.927299            60.674720
CS-Price-Baa-5YR-diff           126.000000            -0.164410            12.989459           -33.792516            -6.343690            -1.188058             6.718529            63.082227
TB-3MO-TY-diff                  126.000000            -0.001349             0.079343            -0.200000            -0.050000             0.000000             0.037500             0.230000
TB-1YR-TY-diff                  126.000000            -0.000476             0.113602            -0.370000            -0.050000             0.000000             0.060000             0.370000
TB-5YR-TY-diff                  126.000000            -0.001746             0.298268            -1.030000            -0.190000             0.025000             0.207500             0.980000
