                             Corp-Aaa_Corp_x       Corp-Aa_Corp_x        Corp-A_Corp_x      Corp-Baa_Corp_x          TB-3MO-TY_x          TB-1YR-TY_x          TB-5YR-TY_x        Econ-UNRATE_x       Econ-DSPIC96_x      Econ-CPIAUCSL_x      Econ-CPILFESL_x        Econ-INDPRO_x           Econ-PCE_x       Market-SP500_x  Market-SP500-change_x        Market-RMRF_x         CS-Aaa-3MO_x          CS-Aa-3MO_x           CS-A-3MO_x         CS-Baa-3MO_x         CS-Aaa-1YR_x          CS-Aa-1YR_x           CS-A-1YR_x         CS-Baa-1YR_x         CS-Aaa-5YR_x          CS-Aa-5YR_x           CS-A-5YR_x         CS-Baa-5YR_x    CS-Aaa-3MO-diff_x     CS-Aa-3MO-diff_x      CS-A-3MO-diff_x    CS-Baa-3MO-diff_x    CS-Aaa-1YR-diff_x     CS-Aa-1YR-diff_x      CS-A-1YR-diff_x    CS-Baa-1YR-diff_x    CS-Aaa-5YR-diff_x     CS-Aa-5YR-diff_x      CS-A-5YR-diff_x    CS-Baa-5YR-diff_x     TB-3MO-TY-diff_x     TB-1YR-TY-diff_x     TB-5YR-TY-diff_x   Market-RMRF-diff_x  Market-SP500-diff_x   Econ-UNRATE-diff_x  Econ-DSPIC96-diff_x  Econ-CPIAUCSL-diff_x  Econ-CPILFESL-diff_x   Econ-INDPRO-diff_x      Econ-PCE-diff_x  Market-SP500-pc-delta_x
TB-5YR-TY-diff_y                    0.000100             0.000200             0.000300             0.000000             0.056200             0.008000             0.053200             0.028700             0.068700             0.031200             0.240200             0.035900             0.141700             0.000000               0.000000             0.000000             0.000700             0.042400             0.080700             0.004000             0.001500             0.048400             0.051500             0.004600             0.000800             0.004400             0.010200             0.000400             0.080400             0.080400             0.056300             0.007700             0.102600             0.102600             0.080800             0.008500             0.005700             0.005700             0.011200             0.000400             0.197700             0.056300             1.000000             0.000000             0.000000             0.026900             0.068600              0.002900              0.333800             0.021200             0.088900                 0.000000
Market-RMRF-diff_y                  0.001100             0.000200             0.001100             0.003400             0.677100             0.004500             0.000100             0.068500             0.580600             0.167000             0.537900             0.124900             0.106100             0.000000               0.000000             0.000000             0.001900             0.000000             0.000400             0.000400             0.006900             0.000300             0.003100             0.001300             0.003100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000100             0.000200             0.000100             0.000100             0.000400             0.000700             0.000800             0.000800             0.000500             0.001300             0.323000             0.003300             0.000100             1.000000             0.000000             0.007600             0.448400              0.064000              0.426500             0.099100             0.031300                 0.000000
Market-SP500-diff_y                 0.183200             0.188300             0.097600             0.155400             0.506100             0.029600             0.146500             0.099700             0.746600             0.486900             0.604700             0.068300             0.098400             0.610100               0.175900             0.371700             0.037500             0.034500             0.023500             0.063800             0.185300             0.112200             0.185400             0.234600             0.134900             0.148600             0.195800             0.189400             0.059400             0.059400             0.038800             0.123600             0.092100             0.092100             0.108600             0.212900             0.354300             0.354300             0.370700             0.332200             0.426400             0.033900             0.154700             0.155700             1.000000             0.035600             0.747400              0.509500              0.521400             0.079400             0.149500                 0.175900
Econ-UNRATE-diff_y                  0.000000             0.000000             0.000000             0.000000             0.013200             0.007800             0.009100             0.708400             0.007000             0.181600             0.138500             0.037500             0.001400             0.029400               0.095300             0.015400             0.003400             0.005800             0.004100             0.000900             0.010600             0.011400             0.007400             0.001600             0.000100             0.000200             0.000200             0.000100             0.041900             0.041900             0.011200             0.003300             0.024300             0.024300             0.011800             0.003700             0.023600             0.023600             0.010200             0.010600             0.010800             0.006800             0.028300             0.120300             0.146400             1.000000             0.019800              0.191500              0.015200             0.174800             0.023400                 0.095300
Econ-DSPIC96-diff_y                 0.129800             0.248900             0.101800             0.198100             0.200100             0.338000             0.256800             0.000700             0.593900             0.005700             0.135700             0.064300             0.006300             0.218200               0.270800             0.250600             0.110200             0.415300             0.139700             0.171000             0.103800             0.390200             0.155800             0.169200             0.000600             0.027300             0.009400             0.008700             0.011600             0.011600             0.041600             0.134900             0.008200             0.008200             0.032700             0.113800             0.238700             0.238700             0.038400             0.113300             0.124000             0.238700             0.575500             0.192100             0.840100             0.002300             1.000000              0.005100              0.279800             0.335300             0.001600                 0.270800
Econ-CPIAUCSL-diff_y                0.046600             0.083200             0.045600             0.032300             0.380400             0.405400             0.711500             0.108500             0.049100             0.773800             0.084400             0.114200             0.320900             0.003600               0.000200             0.000500             0.026700             0.066200             0.045500             0.039100             0.021400             0.021900             0.011300             0.016100             0.027100             0.257700             0.236400             0.224300             0.068200             0.068200             0.033200             0.034200             0.014500             0.014500             0.012100             0.012800             0.632600             0.632600             0.383700             0.287800             0.618600             0.420500             0.566200             0.000800             0.000400             0.079700             0.048500              1.000000              0.078500             0.110600             0.105400                 0.000200
Econ-CPILFESL-diff_y                0.016100             0.018200             0.011900             0.000800             0.003600             0.001400             0.546900             0.000100             0.000100             0.000000             0.000200             0.000300             0.000100             0.000600               0.031900             0.010600             0.000700             0.000800             0.000300             0.000100             0.000600             0.000600             0.000300             0.000100             0.000000             0.001400             0.000300             0.000100             0.102800             0.102800             0.026600             0.001900             0.064300             0.064300             0.010000             0.000500             0.004100             0.004100             0.001200             0.000700             0.005300             0.001500             0.210900             0.040700             0.081400             0.019900             0.162000              0.000200              1.000000             0.029500             0.055400                 0.031900
Econ-INDPRO-diff_y                  0.028400             0.150100             0.046800             0.035800             0.037400             0.250000             0.190200             0.004300             0.214300             0.000000             0.323600             0.092600             0.000100             0.011600               0.007100             0.013000             0.031500             0.349300             0.160800             0.081500             0.014400             0.419800             0.202800             0.076800             0.005100             0.004700             0.003300             0.000800             0.477300             0.477300             0.282900             0.084500             0.448200             0.448200             0.363600             0.081700             0.004700             0.004700             0.002900             0.001300             0.035200             0.093600             0.277900             0.066800             0.015400             0.005400             0.277000              0.000000              0.140400             1.000000             0.000100                 0.007100
Econ-PCE-diff_y                     0.106300             0.277200             0.099000             0.009500             0.001400             0.013900             0.308400             0.009900             0.000500             0.000000             0.001300             0.019800             0.004900             0.002000               0.214700             0.082500             0.010500             0.007600             0.001200             0.000100             0.007800             0.005900             0.000600             0.000000             0.000300             0.000200             0.000100             0.000000             0.280300             0.280300             0.028300             0.008100             0.129600             0.129600             0.013200             0.002500             0.002200             0.002200             0.003200             0.000200             0.000900             0.013000             0.665400             0.262100             0.148500             0.637500             0.010900              0.000400              0.067100             0.016700             1.000000                 0.214700
Market-SP500-pc-delta_y             0.005400             0.000700             0.002200             0.002100             0.528400             0.002200             0.009100             0.009100             0.117000             0.069000             0.134300             0.039900             0.105900             0.029500               0.003700             0.528400             0.005100             0.000200             0.001300             0.001600             0.039500             0.000700             0.006900             0.003800             0.000100             0.000100             0.000100             0.000100             0.000100             0.000100             0.000400             0.000900             0.000200             0.000200             0.001400             0.001800             0.065000             0.065000             0.102800             0.113600             0.483900             0.002300             0.010300             0.141700             0.015300             0.001700             0.352600              0.402300              0.228600             0.111500             0.196400                 1.000000
