                             Corp-Aaa_Corp_x       Corp-Aa_Corp_x        Corp-A_Corp_x      Corp-Baa_Corp_x          TB-3MO-TY_x          TB-1YR-TY_x          TB-5YR-TY_x        Econ-UNRATE_x       Econ-DSPIC96_x      Econ-CPIAUCSL_x      Econ-CPILFESL_x        Econ-INDPRO_x           Econ-PCE_x       Market-SP500_x  Market-SP500-change_x        Market-RMRF_x         CS-Aaa-3MO_x          CS-Aa-3MO_x           CS-A-3MO_x         CS-Baa-3MO_x         CS-Aaa-1YR_x          CS-Aa-1YR_x           CS-A-1YR_x         CS-Baa-1YR_x         CS-Aaa-5YR_x          CS-Aa-5YR_x           CS-A-5YR_x         CS-Baa-5YR_x    CS-Aaa-3MO-diff_x     CS-Aa-3MO-diff_x      CS-A-3MO-diff_x    CS-Baa-3MO-diff_x    CS-Aaa-1YR-diff_x     CS-Aa-1YR-diff_x      CS-A-1YR-diff_x    CS-Baa-1YR-diff_x    CS-Aaa-5YR-diff_x     CS-Aa-5YR-diff_x      CS-A-5YR-diff_x    CS-Baa-5YR-diff_x     TB-3MO-TY-diff_x     TB-1YR-TY-diff_x     TB-5YR-TY-diff_x   Market-RMRF-diff_x  Market-SP500-diff_x   Econ-UNRATE-diff_x  Econ-DSPIC96-diff_x  Econ-CPIAUCSL-diff_x  Econ-CPILFESL-diff_x   Econ-INDPRO-diff_x      Econ-PCE-diff_x  Market-SP500-pc-delta_x
Econ-CPILFESL_y                     0.032500             0.157900             0.056400             0.006700             0.024100             0.010900             0.138700             0.079500             0.041100             0.000200             1.000000             0.023800             0.024200             0.157100               0.030200             0.043500             0.015800             0.038300             0.010300             0.002700             0.024000             0.055700             0.010500             0.001900             0.000100             0.022200             0.006900             0.003400             0.103400             0.103400             0.030500             0.002200             0.056100             0.056100             0.011400             0.000700             0.006500             0.006500             0.002300             0.001000             0.007400             0.010000             0.291700             0.050800             0.056900             0.035000             0.169900              0.000300              0.000900             0.027000             0.237300                 0.030200
Econ-INDPRO_y                       0.063600             0.144700             0.055400             0.000600             0.026100             0.097400             0.112700             0.015200             0.293400             0.000000             0.103300             1.000000             0.000000             0.004600               0.055600             0.117200             0.011100             0.000200             0.000000             0.000000             0.009500             0.000100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.652800             0.652800             0.458700             0.394200             0.591500             0.591500             0.580600             0.474000             0.044000             0.044000             0.048000             0.058400             0.022200             0.170500             0.196600             0.046600             0.032400             0.002200             0.197500              0.000100              0.102900             0.028800             0.000000                 0.055600
Econ-PCE_y                          0.139600             0.381300             0.090200             0.015400             0.027500             0.164600             0.589500             0.673400             0.055700             0.000600             0.044700             0.023200             1.000000             0.089400               0.194300             0.196500             0.166900             0.273900             0.060300             0.014700             0.128800             0.227400             0.049700             0.008500             0.005100             0.003600             0.004300             0.000300             0.179800             0.179800             0.012200             0.003200             0.078400             0.078400             0.005500             0.001200             0.002700             0.002700             0.005100             0.000200             0.009500             0.133700             0.552500             0.213200             0.078000             0.742500             0.019400              0.000600              0.096400             0.036000             0.537600                 0.194300
Market-SP500_y                      0.113100             0.146500             0.083300             0.118500             0.290300             0.018300             0.134700             0.012200             0.009500             0.011700             0.000000             0.128700             0.000100             1.000000               0.066500             0.051100             0.058300             0.014300             0.009200             0.032200             0.199600             0.046800             0.096500             0.124900             0.084800             0.264300             0.329300             0.309700             0.052800             0.052800             0.033300             0.111900             0.081500             0.081500             0.102500             0.201200             0.412900             0.412900             0.486900             0.432800             0.482000             0.014700             0.145000             0.257300             0.013600             0.030500             0.733200              0.503400              0.555500             0.067100             0.154900                 0.066500
Market-SP500-change_y               0.005400             0.000700             0.002200             0.002100             0.528400             0.002200             0.009100             0.009100             0.117000             0.069000             0.134300             0.039900             0.105900             0.029500               1.000000             0.528400             0.005100             0.000200             0.001300             0.001600             0.039500             0.000700             0.006900             0.003800             0.000100             0.000100             0.000100             0.000100             0.000100             0.000100             0.000400             0.000900             0.000200             0.000200             0.001400             0.001800             0.065000             0.065000             0.102800             0.113600             0.483900             0.002300             0.010300             0.141700             0.015300             0.001700             0.352600              0.402300              0.228600             0.111500             0.196400                 0.003700
Market-RMRF_y                       0.000300             0.000100             0.001300             0.002700             0.002400             0.000000             0.000100             0.000700             0.000300             0.000200             0.000600             0.000400             0.000300             0.000000               0.002400             1.000000             0.000600             0.000100             0.000100             0.000000             0.000200             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000300             0.000300             0.001200             0.003300             0.000600             0.000600             0.003700             0.004800             0.036300             0.036300             0.101600             0.115800             0.041300             0.000000             0.000800             0.450300             0.000200             0.003100             0.310200              0.326900              0.085000             0.168900             0.048100                 0.002400
CS-Aaa-3MO_y                        0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000600             0.000700             0.002100             0.001900             0.020700             0.001000             0.001300             0.016800               0.001600             0.000000             1.000000             0.034200             0.025000             0.000400             0.047000             0.055300             0.017200             0.001000             0.000000             0.002600             0.000600             0.000800             0.024000             0.024000             0.006000             0.000400             0.027700             0.027700             0.012500             0.001200             0.244900             0.244900             0.017200             0.057400             0.002200             0.054400             0.109600             0.021900             0.048600             0.001300             0.004000              0.001600              0.073800             0.002800             0.193300                 0.001600
CS-Aa-3MO_y                         0.002200             0.000300             0.000200             0.000000             0.000300             0.000400             0.020500             0.000100             0.000200             0.000100             0.000400             0.004800             0.000300             0.008800               0.014600             0.001500             0.000400             1.000000             0.111700             0.000800             0.000000             0.040500             0.004100             0.003400             0.002800             0.098800             0.074100             0.048500             0.072100             0.072100             0.059300             0.000100             0.052600             0.052600             0.012600             0.002500             0.171900             0.171900             0.081100             0.035700             0.006300             0.235500             0.139900             0.045900             0.057100             0.000100             0.011900              0.023300              0.002900             0.046900             0.373800                 0.014600
CS-A-3MO_y                          0.000300             0.000400             0.000100             0.000000             0.000100             0.000100             0.032800             0.000600             0.000000             0.000000             0.000100             0.003200             0.000000             0.000500               0.001200             0.005400             0.000500             0.067100             1.000000             0.015500             0.000000             0.011300             0.012900             0.030700             0.001600             0.066900             0.046700             0.041800             0.004100             0.004100             0.226700             0.003400             0.023100             0.023100             0.029900             0.038900             0.134300             0.134300             0.121400             0.087300             0.005000             0.223200             0.153200             0.027000             0.054000             0.000900             0.014000              0.063800              0.035300             0.012300             0.360500                 0.001200
CS-Baa-3MO_y                        0.000100             0.000400             0.000100             0.000000             0.000000             0.000000             0.018900             0.000100             0.000000             0.000000             0.000000             0.011800             0.000000             0.000000               0.000300             0.002400             0.000900             0.031400             0.020000             1.000000             0.000000             0.000200             0.000100             0.003500             0.000000             0.042100             0.015700             0.011900             0.008800             0.008800             0.020300             0.153700             0.042900             0.042900             0.005700             0.007800             0.044500             0.044500             0.038800             0.070300             0.002100             0.056100             0.069700             0.006500             0.005500             0.000100             0.020300              0.174100              0.044600             0.056300             0.150500                 0.000300
CS-Aaa-1YR_y                        0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.003000             0.000100             0.000400             0.001100             0.005400             0.005300             0.000300             0.046800               0.003100             0.000200             0.080200             0.338000             0.255300             0.054800             1.000000             0.063200             0.021500             0.001500             0.000000             0.001900             0.000400             0.000500             0.323500             0.323500             0.032300             0.043900             0.052300             0.052300             0.014800             0.001200             0.266600             0.266600             0.013300             0.048500             0.000700             0.040400             0.192700             0.014600             0.158700             0.002300             0.002300              0.013900              0.038200             0.010100             0.281400                 0.003100
CS-Aa-1YR_y                         0.001000             0.001000             0.001600             0.000000             0.001200             0.001000             0.067300             0.000300             0.000000             0.000000             0.000000             0.021800             0.000000             0.001200               0.036400             0.050800             0.000100             0.009800             0.016200             0.030300             0.000000             1.000000             0.016100             0.000700             0.000400             0.029100             0.039500             0.034100             0.005700             0.005700             0.047700             0.024800             0.216500             0.216500             0.022300             0.000300             0.216800             0.216800             0.049000             0.039300             0.007400             0.063800             0.083500             0.070100             0.148400             0.005700             0.008500              0.165900              0.000100             0.088800             0.283700                 0.036400
CS-A-1YR_y                          0.000100             0.000300             0.000300             0.000000             0.000400             0.000300             0.077400             0.000000             0.000000             0.000000             0.000000             0.007800             0.000000             0.000000               0.000100             0.000600             0.000300             0.000100             0.003600             0.000900             0.000100             0.023300             1.000000             0.005700             0.000300             0.018600             0.010300             0.004800             0.002000             0.002000             0.002100             0.005800             0.026500             0.026500             0.152200             0.038800             0.214600             0.214600             0.118200             0.129400             0.012700             0.051000             0.074400             0.002900             0.006900             0.010600             0.007500              0.368600              0.008500             0.018500             0.183200                 0.000100
CS-Baa-1YR_y                        0.000000             0.000900             0.000800             0.000000             0.000000             0.000000             0.051500             0.000000             0.000000             0.000000             0.000000             0.021600             0.000000             0.000000               0.000100             0.000500             0.000200             0.001300             0.001700             0.000100             0.000100             0.005600             0.001000             1.000000             0.000000             0.017200             0.011200             0.001700             0.001100             0.001100             0.000800             0.000100             0.063200             0.063200             0.016900             0.032000             0.044800             0.044800             0.020400             0.039000             0.008300             0.004700             0.044600             0.000200             0.000500             0.003100             0.029000              0.695800              0.012900             0.095000             0.044800                 0.000100
CS-Aaa-5YR_y                        0.000300             0.008500             0.022200             0.030500             0.000000             0.000000             0.000300             0.000700             0.000100             0.000400             0.000300             0.002600             0.000100             0.000000               0.000000             0.000000             0.017800             0.012200             0.014900             0.003200             0.029400             0.013200             0.017500             0.002100             1.000000             0.024800             0.025900             0.004700             0.009200             0.009200             0.010100             0.011700             0.091500             0.091500             0.093600             0.023900             0.035800             0.035800             0.033100             0.023100             0.021500             0.000100             0.020200             0.000000             0.000000             0.091100             0.271500              0.376000              0.557000             0.100500             0.042900                 0.000000
CS-Aa-5YR_y                         0.000000             0.001600             0.008100             0.001600             0.203800             0.015800             0.001600             0.000100             0.014800             0.005000             0.001000             0.007600             0.001000             0.000000               0.000000             0.000000             0.000000             0.001800             0.002800             0.001100             0.000000             0.001900             0.007200             0.002900             0.000000             1.000000             0.000400             0.051000             0.000800             0.000800             0.012100             0.004100             0.000600             0.000600             0.016300             0.007700             0.038600             0.038600             0.000100             0.006300             0.192100             0.001600             0.005100             0.000000             0.000000             0.064300             0.377700              0.231100              0.301300             0.054600             0.003000                 0.000000
CS-A-5YR_y                          0.000000             0.002400             0.001900             0.002000             0.084500             0.004500             0.001900             0.000000             0.000400             0.000100             0.000000             0.000700             0.000000             0.000000               0.000000             0.000000             0.000000             0.001100             0.000300             0.000400             0.000000             0.004100             0.001200             0.002600             0.000000             0.028900             1.000000             0.004800             0.001700             0.001700             0.000700             0.000400             0.002900             0.002900             0.004000             0.008400             0.022100             0.022100             0.029900             0.029900             0.120400             0.000600             0.001700             0.000000             0.000000             0.065700             0.214500              0.166300              0.471400             0.036500             0.003200                 0.000000
CS-Baa-5YR_y                        0.000000             0.005800             0.004500             0.001900             0.014400             0.001000             0.001900             0.000000             0.000300             0.000000             0.000000             0.006600             0.000000             0.000000               0.000000             0.000000             0.000000             0.001500             0.000500             0.000300             0.000000             0.006300             0.002600             0.002600             0.000000             0.098300             0.005200             1.000000             0.001900             0.001900             0.001600             0.000700             0.006700             0.006700             0.015600             0.008000             0.018600             0.018600             0.006600             0.004600             0.070900             0.000200             0.002500             0.000000             0.000000             0.049900             0.324900              0.032600              0.281300             0.131000             0.000800                 0.000000
CS-Aaa-3MO-diff_y                   0.000000             0.000000             0.000000             0.000000             0.143000             0.205800             0.018600             0.000100             0.029600             0.032500             0.194000             0.017700             0.246200             0.071000               0.012100             0.009100             0.000000             0.001100             0.000800             0.000200             0.000100             0.001400             0.000600             0.001000             0.000000             0.000100             0.000100             0.000100             1.000000             1.000000             0.173900             0.000300             0.226700             0.226700             0.079100             0.003500             0.051100             0.051100             0.039500             0.029200             0.184200             0.586600             0.102400             0.032600             0.047400             0.000100             0.029700              0.014500              0.022800             0.021400             0.113800                 0.012100
CS-Aa-3MO-diff_y                    0.000000             0.000000             0.000000             0.000000             0.143000             0.205800             0.018600             0.000100             0.029600             0.032500             0.194000             0.017700             0.246200             0.071000               0.012100             0.009100             0.000000             0.001100             0.000800             0.000200             0.000100             0.001400             0.000600             0.001000             0.000000             0.000100             0.000100             0.000100             1.000000             1.000000             0.173900             0.000300             0.226700             0.226700             0.079100             0.003500             0.051100             0.051100             0.039500             0.029200             0.184200             0.586600             0.102400             0.032600             0.047400             0.000100             0.029700              0.014500              0.022800             0.021400             0.113800                 0.012100
CS-A-3MO-diff_y                     0.000000             0.000000             0.000000             0.000000             0.198500             0.384700             0.027500             0.000600             0.022200             0.075200             0.310700             0.003900             0.226900             0.070300               0.000700             0.001200             0.000000             0.000200             0.000300             0.000000             0.000000             0.001600             0.000100             0.000200             0.000000             0.000000             0.000000             0.000000             0.031200             0.031200             1.000000             0.002700             0.075100             0.075100             0.108100             0.036600             0.005900             0.005900             0.024000             0.027700             0.096400             0.563900             0.078400             0.033800             0.045500             0.000600             0.020400              0.033300              0.105000             0.005000             0.088300                 0.000700
CS-Baa-3MO-diff_y                   0.000000             0.000000             0.000000             0.000000             0.254000             0.294500             0.034600             0.000200             0.028800             0.057900             0.153100             0.003100             0.141100             0.014600               0.000200             0.000300             0.000000             0.000200             0.000100             0.000000             0.000000             0.000700             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.021200             0.021200             0.007500             1.000000             0.160100             0.160100             0.002800             0.018400             0.004600             0.004600             0.004000             0.006500             0.049300             0.210200             0.040100             0.001400             0.018300             0.000100             0.018800              0.129500              0.089900             0.051000             0.031500                 0.000200
