                           Corp-Aaa_Corp_x       Corp-Aa_Corp_x        Corp-A_Corp_x      Corp-Baa_Corp_x          TB-3MO-TY_x          TB-1YR-TY_x          TB-5YR-TY_x        Econ-UNRATE_x       Econ-DSPIC96_x      Econ-CPIAUCSL_x      Econ-CPILFESL_x        Econ-INDPRO_x           Econ-PCE_x       Market-SP500_x  Market-SP500-change_x        Market-RMRF_x         CS-Aaa-3MO_x          CS-Aa-3MO_x           CS-A-3MO_x         CS-Baa-3MO_x         CS-Aaa-1YR_x          CS-Aa-1YR_x           CS-A-1YR_x         CS-Baa-1YR_x         CS-Aaa-5YR_x          CS-Aa-5YR_x           CS-A-5YR_x         CS-Baa-5YR_x
Market-SP500-change_y             0.187700             0.229100             0.157500             0.149600             0.288900             0.383700             0.729800             0.183600             0.074700             0.038700             0.573000             0.000000             0.136900             0.306300               1.000000             0.288900             0.012600             0.012900             0.009100             0.018100             0.016800             0.011100             0.006600             0.014000             0.047600             0.003900             0.003800             0.013900
Market-RMRF_y                     0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000               0.000000             1.000000             0.003800             0.086600             0.019700             0.005300             0.000400             0.023900             0.006400             0.001800             0.000300             0.002800             0.000500             0.000400
CS-Aaa-3MO_y                      0.000000             0.000000             0.000100             0.000000             0.000000             0.000000             0.001300             0.000400             0.001600             0.042300             0.110500             0.000000             0.101100             0.073600               0.001000             0.005400             1.000000             0.000000             0.000600             0.000000             0.000000             0.000000             0.000000             0.000000             0.100900             0.011800             0.018500             0.000100
CS-Aa-3MO_y                       0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.003200             0.000400             0.033900             0.002000             0.175800             0.000100             0.306800             0.013000               0.000100             0.000600             0.000000             1.000000             0.003100             0.054000             0.000000             0.000000             0.000000             0.113000             0.000000             0.006200             0.002100             0.075700
CS-A-3MO_y                        0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.006100             0.001800             0.013200             0.000100             0.092800             0.000000             0.202600             0.000700               0.000000             0.000000             0.001000             0.025100             1.000000             0.000100             0.000000             0.000000             0.000000             0.147200             0.000000             0.001500             0.001700             0.036200
CS-Baa-3MO_y                      0.000000             0.000100             0.000000             0.000000             0.000000             0.000000             0.004700             0.010300             0.045800             0.000100             0.091800             0.000000             0.015200             0.000000               0.000000             0.000000             0.000000             0.001600             0.000000             1.000000             0.000000             0.000000             0.000000             0.000600             0.000000             0.000000             0.000000             0.029500
CS-Aaa-1YR_y                      0.000000             0.000000             0.000900             0.000000             0.000000             0.000000             0.001200             0.000300             0.000600             0.016400             0.132200             0.000000             0.015100             0.005800               0.000100             0.000200             0.006600             0.008700             0.021100             0.000500             1.000000             0.000000             0.000000             0.000000             0.073300             0.000500             0.005600             0.000000
CS-Aa-1YR_y                       0.000300             0.000100             0.000100             0.000000             0.000100             0.000100             0.001000             0.000400             0.017900             0.000100             0.091600             0.000000             0.169200             0.000100               0.000000             0.000000             0.000000             0.002700             0.010400             0.000600             0.000000             1.000000             0.012600             0.007500             0.000000             0.002300             0.003000             0.032400
CS-A-1YR_y                        0.000400             0.000300             0.000300             0.000000             0.001100             0.000300             0.008300             0.001200             0.009400             0.000000             0.040000             0.000000             0.074800             0.000000               0.000000             0.000000             0.000100             0.058500             0.002400             0.000000             0.000300             0.157000             1.000000             0.000000             0.000000             0.000900             0.003300             0.008700
CS-Baa-1YR_y                      0.000000             0.000100             0.000000             0.000000             0.000000             0.000000             0.028700             0.018900             0.033200             0.000000             0.069200             0.000000             0.002200             0.000000               0.000000             0.000000             0.000000             0.000000             0.000000             0.000300             0.000000             0.000000             0.000000             1.000000             0.000000             0.000000             0.000000             0.009400
CS-Aaa-5YR_y                      0.008100             0.017400             0.027600             0.014900             0.001000             0.000100             0.008100             0.161800             0.000000             0.033400             0.931100             0.000000             0.001300             0.000000               0.000000             0.000000             0.012500             0.015700             0.020400             0.002200             0.009300             0.028600             0.007800             0.000100             1.000000             0.000000             0.000300             0.000000
CS-Aa-5YR_y                       0.000000             0.001500             0.002100             0.000300             0.003200             0.001400             0.001500             0.243100             0.000000             0.000100             0.206600             0.000000             0.015200             0.000000               0.000000             0.000000             0.000000             0.000000             0.000100             0.000200             0.000000             0.000000             0.000000             0.000000             0.000000             1.000000             0.022300             0.000000
CS-A-5YR_y                        0.000000             0.001400             0.005300             0.024200             0.008400             0.000100             0.005300             0.047200             0.000100             0.000000             0.317400             0.000000             0.002000             0.000000               0.000000             0.000000             0.000000             0.000000             0.000100             0.001600             0.000000             0.000000             0.000000             0.000000             0.000000             0.088100             1.000000             0.000000
CS-Baa-5YR_y                      0.000000             0.000000             0.000000             0.048700             0.000600             0.000300             0.048700             0.080000             0.012600             0.000100             0.545100             0.000000             0.000100             0.000000               0.000000             0.000000             0.000000             0.000000             0.000000             0.009200             0.000000             0.000000             0.000000             0.032200             0.000000             0.000000             0.000000             1.000000
