                                     count                 mean                  std                  min                  25%                  50%                  75%                  max
CS-DCF-Aa-1YR-diff              355.000000             0.019356             2.687464           -18.437306            -0.922202             0.285776             1.257831            15.498568
CS-DCF-A-1YR-diff               355.000000             0.016647             2.612518           -21.950184            -1.008694             0.195108             1.315463             8.467423
CS-DCF-Baa-1YR-diff             355.000000             0.015796             3.082586           -30.407636            -1.024249             0.275488             1.423904             8.967339
CS-DCF-Aaa-5YR-diff             355.000000             0.000949            10.283592          -104.558644            -3.180181             0.000000             3.627127            76.980210
CS-DCF-Aa-5YR-diff              355.000000             0.051326            10.625294           -68.025044            -3.563037             0.459004             3.551892            74.725761
CS-DCF-A-5YR-diff               355.000000             0.038148            10.155590           -79.182876            -3.722890             0.171845             4.119910            43.667492
CS-DCF-Baa-5YR-diff             355.000000             0.033713            12.260268          -107.592794            -4.057363             0.587020             4.957912            49.627295
TB-3MO-TY-diff                  355.000000            -0.016113             0.205662            -1.400000            -0.050000             0.000000             0.070000             0.520000
TB-1YR-TY-diff                  355.000000            -0.016225             0.216789            -1.230000            -0.100000             0.000000             0.100000             0.730000
TB-5YR-TY-diff                  355.000000            -0.016958             0.273040            -0.870000            -0.180000            -0.020000             0.140000             0.920000
Market-RMRF-diff                355.000000             0.030401             5.770363           -13.561200            -3.696700            -0.051500             3.329100            20.959300
Market-SP500-diff               355.000000             7.316563            54.254055          -253.319800           -14.510000            10.000000            40.350000           197.250000
Econ-UNRATE-diff                355.000000            -0.004789             0.154059            -0.500000            -0.100000             0.000000             0.100000             0.500000
Econ-DSPIC96-diff               355.000000            23.192676            79.766188          -749.500000             1.500000            25.100000            45.200000           551.200000
Econ-CPIAUCSL-diff              355.000000             0.362800             0.513865            -3.842000             0.170000             0.380000             0.600000             2.700000
Econ-CPILFESL-diff              355.000000             0.372056             0.165048            -0.248000             0.300000             0.400000             0.500000             0.900000
Econ-INDPRO-diff                355.000000             0.130980             0.582037            -4.368700            -0.156350             0.172000             0.484150             1.782400
Econ-PCE-diff                   355.000000            30.849859            34.102445          -139.500000            14.550000            30.600000            48.000000           195.600000
Market-SP500-pc-delta           355.000000             0.007024             0.041024            -0.169425            -0.017377             0.010674             0.032583             0.111588


